e,mouse,c1,c2,c3,sc
-1.56,-123.516907066106,0,0,0,0
-1.59,-155.785170168154,1,-1,0,0
-0.98,-25.626562316042,0,-1,0,9
4.89,-186.324637060292,0,0,0,9
-4.92,-96.6132398311904,1,0,0,0
-4.92,-44.5333019953535,1,-1,0,0
5,78.4334682137333,2,0,0,0
4.97,24.4854504343591,1,-1,0,0
2.14,-16.5130544527561,2,0,0,20
2.47,-190.484510265631,3,-1,1,20
1.26,67.5779688072289,1,0,0,17
1.97,38.9302533527604,3,-2,0,17
4.89,19.1673976005402,4,-2,1,0
2.22,-49.8601896927698,2,0,0,47
2.28,37.9217519985217,4,-1,0,47
5,-62.7178344608719,7,0,1,29
4.81,-91.3612915198352,7,0,0,29
5,-47.0149387752298,9,0,1,72
-1.37,-59.3668476318068,2,-2,0,0
4.97,-94.9597317179275,1,-1,0,0
4.97,-37.5822261488478,2,-1,0,11
5,50.775373874317,1,0,0,11
5,-2.70620264170412,6,-5,0,0
4.89,-96.3027159715437,2,-1,0,0
-1.56,-15.1392191338302,2,0,0,32
2.14,23.7596167093097,2,-1,0,32
-2.54,6.45082573983461,2,-2,2,0
-4.92,40.5419001159827,5,-3,2,0
1.07,42.3915630702827,6,0,0,45
5,-19.6834308468576,4,0,0,45
-4.92,183.531189940165,2,-1,0,0
-4.92,174.792942589345,0,0,0,0
5,-0.711242752043034,4,-2,1,36
5,46.1089589847041,5,-2,1,36
3.69,6.30444093033262,4,0,0,0
1.07,-66.5225535054472,0,-1,0,0
-5,-115.188675471665,4,0,0,29
-2.57,-114.14787468194,2,-1,0,29
3.69,-167.647243440503,3,-1,0,12
1.97,-171.781855106319,2,-1,0,12
5,-75.1050492536556,3,-1,0,35
-3.68,-80.8314608073559,4,0,0,35
3.95,-116.661596435497,2,0,0,16
5,-145.052284124504,2,0,0,12
1.1,40.0613408317021,2,0,0,12
5,-122.778553098522,3,0,0,20
5,-171.022826230078,5,-1,0,20
1.29,-30.7983728625483,2,-1,0,0
3.61,-15.883506283581,2,-1,0,0
